"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Av Buenos Aires","BAI",-16.51608,-68.14291,"LPZ096"
"Av Cesar Cronembold","ACC",-17.76341,-63.18416,"SCZ010"
"Av Circunvalacion","CVL",-17.33782,-63.25215,"MON009"
"Av Copacabana","AVC",-17.4262,-66.16284,"CBB039"
"Av Defensores","ADF",-16.53784,-68.04916,"LPZ123"
"Av Eleodoro Villazon","AEV",-17.38931,-66.07011,"CBB256"
"Av General Campero","CPR",-17.79429,-63.13922,"SCZ119"
"Av Hernando Siles","AHS",-19.04366,-65.26015,"SRE140"
"Av Jose Natusch","AJN",-14.82835,-64.89784,""
"Av Juan Pablo II","AJ2",-16.50101,-68.1714,"LPZ053"
"Av Libertador","LIB",-17.79615,-63.11628,"SCZ307"
"Av Los Pinos","ALP",-19.55886,-65.76545,"PTS018"
"Av Oscar Paz","AOP",-14.84653,-64.90244,""
"Av Quintanilla Suazo","QSZ",-16.48689,-68.16117,"LPZ506"
"Av Suecia","ASC",-17.4199,-66.14114,""
"Av Velasco Galvarro","AVG",-17.98878,-67.11103,"ORU121"
"Av. 6 de Agosto","A6A",-17.97832,-67.11162,"ORU195"
"Av. Arroyito","ARY",-17.82374,-63.09779,"SCZ220"
"Av. Beiging","ABG",-17.35637,-66.1769,"CBB405"
"Av. Brasil","BRS",-17.78594,-63.16903,"SCZ079"
"Av. Castillo","ACT",-16.4657,-68.11134,"LPZ343"
"Av. Chacaltaya","CHY",-16.4959,-68.174,"LPZ056"
"Av. Civica","ACV",-16.52031,-68.15558,"LPZ059"
"Av. Cornelio Saavedra","ACS",-16.47903,-68.19356,"EAL032"
"Av. Cosmos 79","C79",-16.53132,-68.21973,""
"Av. David Shriqui","ADS",-14.81056,-64.8815,""
"Av. Del Ejército","AEJ",-19.06105,-65.24554,"SRE165"
"Av. del Poeta Saavedra","ADPS",-16.50982,-68.11987,""
"Av. Forestal","AFR",-17.3899,-66.09078,"CBB236"
"Av. Francisco Anaya","AFA",-17.39275,-66.2937,"QLL024"
"Av. G77","G77",-17.70103,-63.13062,""
"Av. Gamarra","GMR",-16.52041,-68.10829,"LPZ029"
"Av. Las Ameritas","ALA",-16.476,-68.11867,"LPZ331"
"Av. Las Cachuelas","LCC",-17.79146,-63.13386,"SCZ114"
"Av. Litoral","ALR",-16.5423,-68.19921,"EAL234"
"Av. Los Molles","AML",-21.53302,-64.76541,"TRJ109"
"Av. Moscu","AMU",-17.81931,-63.19943,"SCZ171"
"Av. Naciones Unidas","ANU",-16.48481,-68.16773,"LPZ509"
"Av. Nelida Guerra","NGR",-17.39358,-66.28612,"QLL022"
"Av. Pedro Toledo","PTL",-17.44306,-66.1268,"CBB148"
"Av. Pocoata","PCT",-16.47314,-68.19569,"EAL036"
"Av. Primera","APE",-17.37792,-66.07275,"CBB258"
"Av. Ramos Gavilan","RGV",-16.4685,-68.14973,"LPZ217"
"Av. Uruguay","AVU",-17.77691,-63.17377,"SCZ1017"
"Av. Victor Agustin Ugarte","VAU",-16.52587,-68.22993,"EAL255"
"Avenida Barrientos","BTO",-17.3387,-63.24607,"MON150"
"Avenida Dorbigny","DBG",-17.38735,-66.1732,"CBB301"
"Avenida Espana","AES",-17.9776,-67.13594,"ORU137"
"Avenida Pedro Marban","APM",-14.83889,-64.90861,""
"Avenida Peru","APR",-17.39349,-66.17001,"CBB298"
"Avenida Romero","AVR",-21.54318,-64.71279,"TRJ205"
"Avenida Tiahuanacu","ATH",-16.53071,-68.18874,"LPZ090"
"Avenida Yunguyo","AYY",-16.49764,-68.22659,"EAL129"
"AvEsteban_arce","AEA",-16.49365,-68.11426,"LPZ319"
"Ayacucho","AYA",-17.7843,-63.1848,"SCZ1014"
"Ayo Ayo","AYO",-17.0955,-68.0041,""
"Ayopaya","APY",-16.90159,-64.98512,""
"B. Caminero","BCN",-17.84899,-63.1999,"SCZ816"
"B. Carlos Wagner","BCW",-21.51186,-64.74955,"TRJ40"
"B. Coca Cola","BCC",-17.74814,-63.1197,"SCZ407"
"B. Maquina Vieja","VJA",-17.77347,-63.17689,"SCZ022"
"B. Municipal Montero","BMM",-17.32856,-63.2307,""
"B. Oriental","BOR",-17.74936,-63.18801,"SCZ098"
"B. Percy Fernandez","BPF",-17.84336,-63.15316,"SCZ915"
"B. Periodista","BPT",-17.81722,-63.22462,"SCZ136"
"B. San Blas","BSB",-21.55884,-64.73262,""
"B. Suarez","BSZ",-17.84783,-63.11753,"SCZ248"
"B. Venezuela","BVZ",-17.77733,-63.12699,"SCZ301"
"Bagual","BAG",-21.81428,-63.44691,""
"Bajio","BAJ",-17.84251,-63.24211,""
"Bajo Aranjuez","BAZ",-17.3759,-66.1478,"CBB030"
"Bajo Llojeta","BLL",-16.5334,-68.1319,"LPZ590"
"Ballivian","BVN",-16.48895,-68.18224,"EAL009"
"Bancario","BAN",-19.03734,-65.24864,""
"Banco Union","BCO",-14.81831,-64.88113,""
"Barranca","BAR",-17.79844,-63.17469,"SCZ093"
"Barrio 13 de Julio","B13",-17.8358,-63.11541,"SCZ223"
"Barrio 15 de Mayo","B15",-17.75515,-63.11945,"SCZ408"
"Barrio 24 de Junio","B24",-17.85634,-63.16353,"SCZ933"
"Barrio 26 de Septiembre","B26",-17.72675,-63.10561,"SCZ442"
"Barrio 3 de Marzo","BMZ",-17.80994,-63.14396,"SCZ179"
"Barrio 30 de Agosto","B30",-17.72592,-63.13765,"SCZ511"
"Barrio Aerosur","BAE",-17.72905,-63.14811,"SCZ107"
"Barrio Arturo Molina","BMO",-17.84073,-63.16173,"SCZ912"
"Barrio Avaroa","BAV",-21.52076,-64.73287,"TRJ020"
"Barrio Bethesda","BTH",-17.82895,-63.22161,"SCZ808"
"Barrio Bolivar","BBO",-21.25784,-63.48334,""
"Barrio Braniff","BRN",-17.80903,-63.18425,"SCZ150"
"Barrio Catedral","BCA",-21.54562,-64.76245,"TRJ115"
"Barrio Cenetrop","BCT",-17.86284,-63.17468,"SCZ930"
"Barrio Chino","BNC",-16.50847,-68.15996,"LPZ065"
"Barrio Comarapa","BCM",-17.85524,-63.20677,"SCZ832"
"Barrio Convifrag","BCV",-17.79851,-63.15237,"SCZ087"
"Barrio Cordillera","BCD",-17.83219,-63.13123,"SCZ206"
"Barrio Costanera","CTN",-17.77599,-63.20942,"SCZ030"
"Barrio CRE Norte","BCRE",-17.74188,-63.14715,"SCZ104"
"Barrio Cruz del Sur","BCS",-17.83242,-63.2045,"SCZ801"
"Barrio El Fuerte","BFU",-17.84966,-63.14379,"SCZ926"
"Barrio El Palmar","BEP",-17.85962,-63.1446,"SCZ937"
"Barrio Ende","BED",-17.78229,-63.15014,"SCZ302"
