"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Cobolde","CBD",-19.03933,-65.23928,"SRE001"
"Cocapata","CCPT",-16.78096,-66.66456,""
"Cohoni","COH",-16.7701,-67.8782,""
"Coipasa","COI",-19.27298,-68.27731,""
"Colcapirhua","CLP",-17.39244,-66.22855,"CBB627"
"Colcha","CLCH",-20.73409,-67.65565,""
"Colchani","CLHN",-20.29381,-66.93151,""
"Colegio Aleman","COA",-16.52735,-68.06429,""
"Colegio Andres Bellos","CBE",-14.82428,-64.90283,""
"Colegio Holanda","CHO",-16.49981,-68.15027,"LPZ532"
"Colegio Italo Boliviano","CIB",-17.40101,-66.1711,"CBB605"
"Colegio La Mancha","LMN",-17.84702,-63.08654,"SCZ270"
"Colegio Militar","CGM",-16.531,-68.0867,""
"Colegio Nacional Florida","CNF",-17.79104,-63.17948,"SCZ1007"
"Colegio Puerto del Rosario","CPDR",-16.54461,-68.19128,"LPZ086"
"Colinas del Urubo","CUB",-17.7354,-63.21913,"URU037"
"Colipani","CIP",-16.52163,-68.2235,"EAL224"
"Coliseo Gilberto Parejas","GIL",-17.7902,-63.18281,"SCZ1006"
"Coliseo Jorge Revilla","CJR",-19.03851,-65.25765,"SRE136"
"Coliseo Punata","CPUN",-20.74493,-63.6653,""
"Coliseo Villamontes","VM2",-21.263,-63.47119,""
"COLLANA","CLNA",-16.90363,-68.28414,""
"Colomi","CLM",-17.3468,-65.8402,""
"Colonia Pirai","CPI",-16.52795,-63.71449,""
"Colorada","CLD",-17.83326,-63.17504,"SCZ905"
"Colquechaca","CQCH",-18.69592,-65.99175,""
"COLQUENCHA","CLQ",-16.93175,-68.24806,""
"COLQUIRI","COL",-19.04731,-65.26522,"SRE142"
"Comanche","COM",-16.95676,-68.42765,""
"Comarapa","CMP",-17.91436,-64.526,""
"Comercial El Alto","CEA",-16.50836,-68.164,"LPZ066"
"Comercial Neval","NEV",-17.79,-63.20287,"SCZ037"
"Complejo Ferroviario","CFV",-19.58393,-65.7599,"PTS105"
"Complejo Garcia Agreda","CGA",-21.53646,-64.73409,"TRJ03"
"Complejo Joe Raquet","CRA",-17.37304,-66.12403,"CBB001"
"Complejo Recreacional","CRC",-19.56793,-65.76216,"PTS036"
"Comunidad 26 Agosto","C26",-17.4582,-62.62309,""
"Comunidad Aroma","CARO",-17.20443,-63.12087,""
"Comunidad Chinchaya","CMC",-16.48338,-68.08411,""
"Comunidad Linares","COML",-17.16622,-62.56286,""
"Comunidad Nuevo Horizonte","CNH",-17.34377,-62.80996,""
"Comunidad Pabellon","CMD",-17.51279,-65.85614,""
"Comunidad Sora","CDS",-17.98437,-67.09609,"ORU274"
"Comunidad Tundi","CTD",-17.87642,-63.02038,""
"Comunidad Viana","CMV",-17.87077,-63.0638,""
"Cona Cona","ONA",-17.39133,-66.19286,"CBB554"
"Concepcion","CON",-16.1339,-62.02623,""
"Concepcion 2","CON2",-16.13324,-62.04144,""
"Condebamba","CDB",-17.33979,-66.18074,""
"Condominio Delta","CDE",-17.76005,-63.19667,"SCZ015"
"Condominio El Cristo","CEC",-17.77122,-63.18342,"SCZ023"
"Condominio EOS","EOS",-17.38089,-66.18219,"CBB504"
"Condominio Genesis","CDG",-17.72094,-63.16757,"SCZ056"
"Condominio Mallorca","CML",-17.8099,-63.20085,"SCZ141"
"Condominio Parque Urbano","CPU",-17.79515,-63.17216,"SCZ081"
"Condominio Safra","CSF",-17.76976,-63.16549,"SCZ061"
"Condominio Villa Toscana","CVT",-17.74115,-63.17983,"SCZ047"
"Condominios Norte 2","CN2",-17.69231,-63.16581,"SCZ626"
"Confital","CFT",-17.67787,-66.73262,""
"Convento La Recoleta","CLRT",-19.05759,-65.25383,"SRE163"
"Cooperativa Esmeralda","COE",-17.41427,-66.09335,"CBB229"
"Copacabana","COP",-16.17775,-69.08593,""
"Copy Color","CPY",-17.77373,-63.1839,"SCZ024"
"Cordecruz","CDZ",-17.8394,-63.18871,"SCZ805"
"Coripata","CRP",-16.30652,-67.59717,""
"Coro Coro","COO",-17.18128,-68.44925,""
"Coroico","CORC",-16.19402,-67.7214,""
"CORQUE","CQE",-18.35403,-67.69033,""
"Corte","COR",-17.7751,-63.1807,"SCZ1021"
"Cospail","COS",-17.82451,-63.22889,"SCZ707"
"Cossmil","CSS",-16.50543,-68.11877,"LPZ045"
"Cota Cota","CTA",-16.53986,-68.055,"LPZ121"
"Cota Cota 2","COT2_",-16.54111,-68.06602,"LPZ018"
"Cotagaita","CTG",-20.81293,-65.66091,""
"Cotahuma","CTH",-16.51845,-68.13787,"LPZ134"
"Cotapata Santa Barbara","CSB",-16.28637,-67.83333,""
"Cotoca","COT",-17.75351,-62.98247,""
"Cotoca 2","COC2",-17.74982,-62.99575,"COT001"
"Cotoca 3","COC3",-17.75949,-63.00022,"COT003"
"Country Club CBBA","CCC",-17.40222,-66.12749,""
"Country Club SCZ","CCS",-17.79946,-63.21308,"SCZ043"
"Covico","COV",-16.494,-68.1042,"LPZ108"
"CREDINFORM","CRF",-16.50743,-68.12528,""
"Cristal Mayu","CMY",-16.99942,-65.63725,""
"Cruce Rio Seco","CRS",-16.48908,-68.20948,"EAL050"
"Cruce Teleferico","CRTF",-16.49893,-68.16608,"LPZ054"
"CRUZ DE MACHACAMARCA","CZM",-18.76884,-68.31359,""
"Cruz del Norte","CRDN",-16.47325,-68.27352,""
"CRUZ LOMA","CLO",-16.19603,-67.69171,""
"Cruz Papal","CRPL",-16.50312,-68.16616,"LPZ053"
"Cuartel de Comunicaciones LPZ","CCN",-16.48141,-68.12483,"LPZ358"
"Cuatro Esquinas","4EQ",-17.36017,-66.22875,"CBB575"
"Cuchilla","CHI",-17.8246,-63.2028,"SCZ173"
"Cuchumuela","CUC",-17.65244,-65.79398,""
"Cuellar","CUE",-17.77868,-63.18877,"SCZ026"
"Cuevo","CVO",-20.44406,-63.4989,""
"Culpina","CUL",-20.82455,-64.94035,""
"Cumavi","CUM",-17.78422,-63.11589,"SCZ305"
"Cumbre Sorata TX","CSO",-15.89374,-68.64853,""
"Cupesi","CUP",-17.83245,-63.10211,"SCZ230"
"Cupilupaca","CPC",-16.55231,-68.19487,"EAL333"
"Curahuara de Carangas","CUH",-17.84014,-68.41075,""
"Curtiembre San Juan","CSJ",-21.52356,-64.71635,"TRJ18"
"Curva Delicias","CUD",-16.47308,-68.12901,"LPZ366"
"Curva LPZ","CRVL",-15.126,-68.99897,""
"Dalence","DAL",-17.97608,-67.05386,""
"Desaguadero","DES",-16.56603,-69.03292,""
"Destacamento 317","D317",-19.04166,-65.24771,"SRE026"
"DIRME","DIR",-19.56831,-65.76775,""
"Don Bosco","DBO",-16.53271,-68.16245,"EAL305"
"Don Lorenzo","DLZ",-17.80863,-62.88203,""
"Dulce Sueno","DSU",-17.81466,-63.20637,"SCZ139"
"Eagles School","ESH",-17.73805,-63.1647,"SCZ051"
"Easy Macro Banco Sol","EMBS",-16.50217,-68.13406,""
"Easy Macro Mercado Lanza","EMML",-16.49529,-68.13739,""
"Ecologica","ECO",-17.7681,-63.10685,"SCZ328"
"Ecuador","ECU",-16.50931,-68.13081,"LPZ115"
"Ed. Mariscal Ballivian","EMB",-16.49839,-68.13335,""
"Edificio Alianza","EAL",-16.50739,-68.12824,""
"Edificio Castrillo","ECS",-16.50672,-68.13386,"LPZ117"
"Edificio Cubo","EDC",-17.76079,-63.202,"SCZ017"
"Edificio D&M","EDM",-16.53258,-68.07455,"LPZ006"
"Edificio DIMA","EDI",-17.78511,-63.19388,"SCZ1000"
"Edificio Franz Tamayo","EFT",-16.50446,-68.13184,""
"Edificio Guayaquil","EGY",-16.51285,-68.13101,"LPZ113"
"Edificio Mirage Tower","EMT",-17.38837,-66.15994,""
"Edificio Omontes","EOM",-17.39657,-66.1578,""
"Edificio Providencia","EPV",-16.50038,-68.12329,""
"Edificio Santa Cruz Tours","TOU",-17.78537,-63.18155,"SCZ1011"
"Eduardo Avaroa","EDU",-16.50061,-68.15522,"LPZ533"
"Eduardo Caba","ECB",-16.49775,-68.12518,""
"Eguino","EGU",-16.49264,-68.13987,""
"Ejercito","EJE",-21.54003,-64.72861,"TRJ002"
"El Abra","EAB",-17.3921,-66.1131,"CBB209"
"El Bateon","EBT",-20.02654,-63.53465,""
"El Bisito","EBI",-17.794,-63.0167,""
"El Chaco","ECHO",-18.8946,-65.1141,""
"El Choro Oruro","CHOR",-18.35775,-67.11606,""
"El Chorro","ECR",-11.52832,-66.28838,""
"El Chubi","ECH",-17.76699,-63.19401,"SCZ014"
"El Deber","EDE",-17.79968,-63.16806,"SCZ090"
"El Gallito","EGL",-17.85464,-63.10386,"SCZ273"
"El Greco","GRE",-16.54085,-68.08698,"LPZ009"
"El Guereo","EGR",-19.05353,-65.25279,"SRE151"
"El Maestro","MAE",-16.47204,-68.11605,"LPZ335"
"El Morro","EMR",-19.02772,-65.24685,"SRE041"
"El Morro 2","EMR2",-19.02697,-65.23867,""
"El Pajonal","PAJ",-17.80444,-63.17187,"SCZ092"
"El Pari","EPA",-17.79807,-63.18875,"SCZ1004"
"El Paso","PAS",-17.34953,-66.25726,""
"El Portillo","EPR",-21.56874,-64.66747,""
"El Porvenir","EPO",-11.23572,-68.69172,""
"El Puente","PUE",-16.32978,-62.91653,""
"El Puente TRJ","EPT",-21.23764,-65.20437,""
"El Recreo","RCR",-17.88097,-63.09215,"SCZ275"
"El Retono","RTO",-17.71692,-63.14302,"SCZ510"
"El Sena","ESN",-11.47444,-67.24139,""
"El Sillar Tx","STX",-18.12653,-63.59895,""
"El Tejar","TEJ",-16.493,-68.15722,"LPZ514"
"El Tejar 2","TJR",-16.49656,-68.15694,""
"El Terrado","TER",-17.7943,-63.10411,"SCZ310"
"El Terrado II","TER2",-17.81443,-63.09202,"SCZ218"
"El Tinto","ETT",-17.66851,-61.51268,""
"El Torno","TOR",-18.00322,-63.3864,""
"El Torno 2","TOR2",-17.99419,-63.3835,""
"El Torno 3","TOR3",-18.00612,-63.39502,""
"El Trapiche","TRP",-17.7521,-63.07485,""
"El Triunfo","ETF",-17.86801,-63.15121,"SCZ945"
"El Villar","EVL",-19.62698,-64.31995,""
"Eloy Salmon","ELO",-16.49844,-68.14636,"LPZ523"
"Entrada a Viacha","EVI",-16.64681,-68.28505,""
"Entre Rios","ENT",-17.20203,-64.53527,""
"Entre Rios TRJ","ETR",-21.52632,-64.17465,""
"Epizana","EPI",-17.63797,-65.23024,""
"Equipetrol Norte","EQI",-17.75871,-63.19949,"SCZ017"
"Escara","ESCR",-18.85616,-68.16874,""
"Escobar Uria","EBU",-16.4915,-68.10986,"LPZ350"
"Escoma","ESC",-15.667,-69.1225,""
"Escuadron Velasco","ESV",-17.80283,-63.19383,"SCZ143"
"Escuela Francisco Palau","FPA",-17.38353,-66.10925,"CBB207"
"Escuela Industrial","ESI",-16.47522,-68.15003,"LPZ212"
"ESMERALDA","ESM",-18.84666,-68.28001,""
"Espana","ESP",-17.78122,-63.18528,"SCZ1020"
"Estacion","EST",-17.40382,-66.15313,""
"Estacion Argentina","EAR",-17.80246,-63.15829,"SCZ088"
"Estacion Buses","BUS",-17.78946,-63.16349,"SCZ074"
"Estacion de Trenes 2","TRE2",-17.9736,-67.10702,"ORU187"
"Estacion Norte","ENR",-19.59261,-65.76142,"PTS106"
"Estadio F Capriles","FEL",-17.37894,-66.16747,"CBB306"
"Estadio Gilberto Parada","EGP",-17.348,-63.26053,"MON003"
"Estadio Gran Mamore","EGM",-14.81839,-64.89366,""
"Estadio IV Centenario","E4C",-21.53239,-64.72582,"TRJ006"
"Estadio Jesus Bermudez","JBE",-17.9477,-67.11018,"ORU071"
"Estadio Mercado","EMM",-19.57353,-65.76421,"PTO032"
"Estadio Nacional Potosi","ENP",-19.58358,-65.75025,"PTS039"
"Estadio Quillacollo","ESQ",-17.39133,-66.27154,"QLL012"
"Estadio San Ignacio","ESG",-16.37908,-60.971,""
"Estadio Victor Agustin Ugarte","EVU",-19.57938,-65.76346,"PTS053"
"Estadio Yacuiba","EYB",-22.02539,-63.68181,"YCB008"
"Estadium Mariscal Braum","MBR",-16.49216,-68.12167,"LPZ102"
"Estatua Manuel Padilla","EMP",-19.04294,-65.25081,"SRE026"
"Estrella del Norte","EDN",-16.46281,-68.20711,""
"Estructurante","ESTR",-16.5922,-68.21901,""
"Estudiantes","ETD",-17.41084,-66.14991,""
"Eterazama","ETE",-16.83208,-65.52083,""
"EUCALIPTUS","EUC",-17.59453,-67.50778,""
"Evangelica","EVA",-17.84269,-63.20535,"SCZ816"
"Ex Comunidad Callapa","ECC",-16.49874,-68.09774,"LPZ315"
"Ex Fundo Charapaqui","CRQ",-16.53783,-68.20997,"EAL230"
"Ex Fundo El Ingenio","EFI",-16.47131,-68.17541,"EAL22"
"Ex Fundo Llojeta","EFL",-16.52322,-68.12151,"LPZ586"
"Ex Fundo Mazo Cruz","FMZ",-16.65952,-68.17618,""
"Ex Fundo San Roque","EFD",-16.46363,-68.28014,""
"Ex Hacienda Ovejuyo","EHO",-16.5384,-68.03101,"LPZ463"
"Ex Hacienda Viliroco","EHV",-16.60378,-68.25387,""
"Exaltacion","EXA",-13.32117,-65.24834,""
"Eyti","EYT",-19.7857,-63.50036,""
"FABOCE","FBC",-17.7795,-63.14506,"SCZ109"
"Fabrica de Aceites Itika","ITK",-21.26256,-63.46208,""
"Fabrica de Alambres","FAL",-17.98942,-67.13403,"ORU124"
"Fabrica de Vidrios","FVD",-16.48472,-68.23724,"EAL135"
"Fabrica Delizia","FDZ",-16.54812,-68.20984,"EAL237"
"Fabrica Manaco","FMN",-17.3945,-66.30247,""
"Facultad de Agronomia","FAG",-17.44471,-66.1338,"CBB146"
"Facultad de Derecho UTO","UTO",-17.96521,-67.10917,"ORU101"
"Facultad de Medicina","FMD",-19.04384,-65.26721,"SRE141"
"Facultad Nacional de Ingeniería","FNI",-17.99892,-67.13692,""
"Falda Sama","FSM",-21.46031,-64.78073,""
"Fancesa","FCS",-19.01941,-65.25094,"SRE047"
"Faro Murillo","FMU",-16.50745,-68.1548,"LPZ556"
"Fatima","FAT",-16.48033,-68.12085,"LPZ331"
"Faustino Medina","FTM",-16.51281,-68.15588,"LPZ068"
"Feicobol","FEI",-17.42206,-66.12816,"CBB130"
"Feria","FER",-17.78473,-63.19797,"SCZ031"
"Feria 16 de Julio","FEJ",-16.49254,-68.17257,"LPZ057"
"Feria Montero","FMO",-17.31629,-63.27408,""
"Feria Santa Cruz","FSC",-17.78441,-63.21166,"SCZ034"
"Fernandez Alonso","FAS",-17.01539,-63.21974,""
"FEXPO","FEX",-17.78263,-63.20403,"SCZ032"
"Fexpo beni","FXB",-14.81111,-64.9043,""
"Fexpo Villa Montes","FVM",-21.26859,-63.4152,""
"Filadelfia","FLF",-11.3425,-68.76055,""
"Final 3 pasos al frente","F3PF",-17.81557,-63.07261,""
"Final Barrientos","FBA",-17.41833,-66.15289,""
"Final Colon - Sella","FICS",-21.4885,-64.71646,""
"Final Lujan","FLJ",-17.73714,-63.06672,""
"Final Wiracocha","FWC",-17.35977,-66.18637,"CBB510"
"Florida","FLO",-16.54666,-68.08495,"LPZ036"
"Foianini","FOI",-17.79472,-63.14677,"SCZ112"
"Fortun Sanjinez","FSA",-16.54082,-68.07215,"LPZ017"
"Fraternidad Talavera","FTV",-17.7476,-63.09729,"SCZ421"
"Fridosa","FRI",-17.7674,-63.05177,"SCZ369"
"Froilan Tejerina","FRT",-21.5065,-64.7313,"TRJ025"
"Fuerza Aerea","FAE",-16.49851,-68.19307,"EAL102"
"Fuerza Aerea Tarija","FTJ",-21.57383,-64.69602,"TRJ154"
"Fundo Kututo","FKT",-16.53881,-68.17064,"EAL314"
"Fundo Ventillas","VTL",-16.61988,-68.18313,""
"Garita Potosi","GRP",-16.50917,-68.14914,"LPZ553"
"General Carrasco","CRR",-17.95013,-67.11644,"ORU068"
"Gran Hotel Londres","GHL",-21.52939,-64.73099,"TRJ011"
"Gran Poder","POD",-16.50056,-68.14225,"LPZ527"
"Guabira","GBR",-17.31546,-63.26997,"MON201"
"Guabira 2","GBR2",-17.29555,-63.27048,""
"Guadalquivir","TAR1",-21.53298,-64.73393,""
"Gualberto Villarroel","GVL",-17.44754,-66.10998,""
"Guanay","GAY",-15.48344,-67.85992,""
"Guanay 2","GAY2",-15.4987,-67.8825,""
"Guapay Sur","GPY",-17.85219,-63.19346,"SCZ815"
"Guapilo","GPI",-17.76458,-63.08483,""
"Guaqui","GQI",-16.5984,-68.83644,""
"Guaracachi","GRC",-17.78637,-63.14142,"SCZ108"
"Guaracal","GRL",-17.81207,-63.17485,"SCZ095"
"Guarayos","ASG",-15.8843,-63.1906,""
"Guarayos 3","ASG3",-15.87768,-63.17811,""
"Guayaramerin","GYM",-10.81168,-65.35332,""
"Guayaramerin 2","GY2",-10.82481,-65.35569,""
"Guayaramerin 3","GY3",-10.83945,-65.358,""
"Guayaramerin 4","GY4",-10.8334,-65.3446,""
"Guayaramerin 5","GY5",-10.80918,-65.36642,""
"Guembe","GMB",-17.76745,-63.24077,""
"Guevara","GUE",-17.80544,-63.13428,"SCZ183"
"Gutierrez","GUT",-19.42192,-63.53156,""
"Hamacas","HMC",-17.75413,-63.16694,"SCZ006"
"Hamburgo","HAM",-16.48913,-68.11537,"LPZ349"
"Hardeman","HAR",-16.67793,-63.61539,""
"Herbario","HRB",-16.5385,-68.07553,"LPZ008"
"HERMANOS RUILOBA","RUI",-21.54389,-64.75013,"TRJ102"
"Heroinas","HER",-17.39031,-66.14776,""
"Hipermaxi","HIP",-17.75884,-63.17941,"SCZ011"
"Hipodromo","HPD",-17.38744,-66.18686,"CBB552"
"Hogar Sagrada Familia","HSF",-21.53688,-64.69659,"TRJ209"
"Holgazanes","HOL",-17.81083,-63.16705,"SCZ091"
"Homecenter","HCN",-17.75279,-63.17498,"SCZ005"
"Hospital Japones","JAP",-17.77279,-63.15622,"SCZ069"
"Hotel Amazonas","HAZ",-17.78235,-63.18401,"SCZ1014"
"Hotel Arenal","ARL",-17.78034,-63.17901,"SCZ1015"
"Hotel Bolivia","HBO",-17.96256,-67.10699,"ORU357"
"Hotel Camino Real","HCR",-17.75602,-63.19878,"SCZ016"
"Hotel Casagrande","HCG",-16.5405,-68.08258,"LPZ011"
"Hotel La Quinta","HLQ",-17.79255,-63.19307,"SCZ1002"
"Hotel Libertador","LBT",-16.4979,-68.132,""
"Hotel Los Ceibos","HLC",-21.53307,-64.73928,"TRJ004"
"Hotel Palace","HPL",-17.96928,-67.11119,""
"Hotel Samary","HSM",-19.05171,-65.25823,"SRE152"
"Hotel Valery","HVL",-19.57821,-65.75458,"PTS038"
"Hotel Viña del Sur","HVS",-21.54757,-64.73251,"TRJ099"
"Huacaraje","HCJ",-13.59584,-63.87665,""
"Huacareta","HCT",-20.36604,-64.00216,""
"Huacaya","HCY",-20.74493,-63.6653,""
"HUACHACALLA 2","HCH2",-18.79294,-68.26157,""
"Huajara II","HJ2",-17.93706,-67.09364,""
"Huajchilla","HJC",-16.62873,-68.05637,"LPZ610"
"Huancane","HNE",-16.3687,-67.52608,""
"Huanuni","HUN",-18.29158,-66.84125,""
"Huanuni 2","HUN2",-18.26818,-66.86266,""
"Huari","HRI",-19.0123,-66.7794,""
"Huarina","HUAR",-16.18514,-68.61453,""
"Huarinilla","HRN",-16.20952,-67.7803,""
"Huatajata","HTJ",-16.207,-68.69679,""
"Huayllamarca","HUAY",-17.82983,-67.94357,""
"Huayllani","HAY",-17.40042,-66.07964,""
"Huayllani Chico","HYC",-17.38394,-66.05849,""
"Huayna Kapaj","HKP",-17.39827,-66.16572,""
"Huayna Potosi","HPT",-16.47401,-68.21161,"EAL075"
"Huaynataki","HTK",-16.52073,-68.05933,""
"Humboldt","HUM",-16.54681,-68.09418,"LPZ407"
"Huyustus","UYU",-16.49411,-68.14242,""
"Ibuelo","IBU",-16.9798,-65.3431,""
"IC Norte 2","IC2",-17.38727,-66.17839,"CBB301"
"Ichoa","ICH",-17.22723,-64.45568,""
"Icla","ICL",-19.36326,-64.78893,""
"Iglesia Don Bosco","IDB",-17.79391,-63.176,"SCZ082"
"Illampu","ILL",-16.49954,-68.13904,""
"Inbolteco","IBO",-17.3948,-66.1005,"CBB210"
"Incahuasi","IHS",-16.58758,-68.19768,"EAL388"
"Incahuasi SCR","ICR",-20.76715,-64.8904,""
"Independencia","IDP",-17.08031,-66.82132,""
"Industrial","IND",-17.95714,-67.11075,"ORU102"
"INFOCAL","IFC",-17.77644,-63.15175,"SCZ070"
"Ingenio Bermejo","IBJ",-22.69286,-64.29361,""
"Ingenio Minero","IGM",-17.0999,-63.2396,""
"Ingenio San Aurelio","ISA",-17.80766,-63.15546,"SCZ176"
"Inquisivi","INQ",-16.8607,-67.1404,""
"Internacional","INT",-17.84745,-63.16224,"SCZ917"
"Ipati","IPT",-19.75347,-63.56477,""
"Ironcollo","IRC",-17.36226,-66.28438,"QLL030"
"Ironcollo 2","IRC2",-17.33799,-66.29005,""
"Irpa Irpa","IPA",-17.72289,-66.2875,""
"Irpavi 2","IRP",-16.50748,-68.0895,"LPZ413"
"Irupana","IRU",-16.48318,-67.43306,""
"Irupana 2","IRU2",-16.46645,-67.45471,""
"Isabel La Catolica","ISC",-17.78934,-63.18928,"SCZ1001"
"ISCAYACHI","ICY",-21.48806,-64.95603,""
"Isinuta","ISI",-16.73654,-65.64363,""
"Isla del Sol","IDS",-16.0612,-69.1267,""
"Itapaque","ITA",-17.72082,-63.0712,""
"Ivirgarzama","IVI",-17.03,-64.85889,""
"Ivirgarzama 2","IVI2",-17.06099,-64.85229,""
"Ixiamas","IXM",-13.77247,-68.13183,""
"Izarsama","IZA",-17.13708,-64.69074,""
"Jaihuayco","JHY",-17.41591,-66.158,"CBB033"
"Japuta Lago","LAG",-16.33477,-68.65522,""
"Jardin Botanico","BOT",-17.76376,-63.06899,""
"Jardines del Sur","JDS",-17.87017,-63.12803,"SCZ966"
"Jatum","JAT",-17.98553,-67.15317,""
"Jesus de Machaca","JMA",-16.7431,-68.8082,""
"Jesus Nazareth","JNA",-16.5444,-68.2223,"EAL243"
"Jhonny Fernandez","JFZ",-17.81644,-63.11008,"SCZ198"
"John Pictor Blanco","JPB",-17.78872,-63.16693,"SCZ079"
"Jorge Wilsterman","WIL",-17.4072,-66.16964,""
"Jorochito","JOR",-18.0546,-63.42766,""
"Juan 23","J23",-21.53899,-64.7169,"TRJ205"
"Juan de la Rosa","JUAN",-17.37589,-66.18044,"CBB308"
"Juan Del Granado","JDG",-16.5218,-68.05596,"LPZ003"
"Juan del valle","JVL",-18.45171,-66.59729,""
"Juan Lechin Oquendo","JLO",-17.37947,-66.25922,""
"Juan Pablo II Sud","JP2",-17.39303,-66.20056,"CBB620"
"Juntuhuma","JUH",-16.60687,-68.18727,"EAL400"
"Kapique","KPQ",-16.04611,-68.80042,""
"Kara Kara","KRK",-17.47435,-66.12036,""
"Keluyo","KLY",-20.01513,-66.76479,""
"Km 12 La Guardia","K12",-17.86342,-63.26782,"GRD199"
"Kollasuyo","KOL",-16.49505,-68.15205,"LPZ513"
"Konani","KON",-17.43617,-67.51857,""
"Kupini","KUP",-16.5113,-68.09654,"LPZ301"
"La Asunta","ASU",-16.12831,-67.19136,""
"La Belgica","BEL",-17.57068,-63.22903,""
"La Calzada","LCZ",-16.29315,-67.32282,""
"La Cancha","CACH",-17.41189,-66.15614,""
"La Cantera","LCA",-17.77828,-66.29969,""
"La Capilla","LCP",-17.40614,-66.0948,""
"La Cascada Villamontes","LCV",-21.25915,-63.45032,""
"La Casona","LCS",-17.79906,-63.09243,"SCZ321"
"La Chancadora","LCN",-17.9538,-67.12177,"ORU064"
"La Chonta","LCT",-17.70279,-63.16089,"SCZ617"
"La Curva","CUR",-17.82633,-63.13819,"SCZ189"
"La Enconada","ENC",-17.73427,-62.93412,""
"La Enconada Ichilo","LEI",-17.05667,-63.89252,""
"La Guardia","GUA",-17.89947,-63.3166,"GRD005"
"La Guardia 2","GUA2",-17.92435,-63.28242,""
"La Hacienda","HAC",-17.74354,-63.15912,"SCZ102"
"La Huachaca","HUC",-17.37628,-67.67732,""
"La Macarena","LMC",-17.8063,-63.2075,"SCZ044"
"La Maica 2","MAI2",-17.41869,-66.17062,"CBB098"
"La Merced","MCD",-17.78781,-63.19419,"SCZ1000"
"La Normal","NOR",-16.5161,-68.1135,"LPZ031"
"La Palma","LPM",-18.95739,-65.13549,""
"La Paz","LPZ",-19.056,-65.25745,"SRE162"
"La Portada","LPO",-16.49008,-68.16671,"LPZ507"
"La Pradera","PRA",-17.80599,-63.10212,"SCZ214"
"La Rioja","RIO",-17.80526,-63.1999,"SCZ141"
"La Salle","SAL",-17.7724,-63.1877,"SCZ024"
"La Sierra","SIE",-17.92772,-63.3468,""
"La Tranca","TRA",-17.85336,-63.2547,"GRD250"
"La Zarca","ZAR",-21.52789,-64.73504,"TRJ062"
"Lacma","LCM",-17.43526,-66.16631,""
"Ladrilleras de Cotahuma","LDC",-16.54,-68.13304,"LPZ597"
"Laguna Pozo","LGP",-17.59156,-62.67368,""
"Laguna Suarez","LASU",-14.87432,-64.86056,""
"Laguna Sulti","LGS",-17.56508,-65.88882,""
"Laguna Trinidad","LTR",-14.84276,-64.89659,""
"Lagunas Parque Industrial","LPQI",-17.74498,-63.13507,""
"Lagunilla","LGN",-19.65447,-63.67476,""
"Laja","LAJ",-16.53608,-68.38314,""
"Lajastambo","LJT",-19.01037,-65.3042,""
"Lambate","LMA",-16.58072,-67.68869,""
"Landaeta","LDT",-16.50954,-68.13628,"LPZ117"
"Landivar","LND",-17.78492,-63.18923,"SCZ1001"
"Las Barreras","LBA",-17.44952,-63.18683,""
"Las Brisas","LBS",-17.36684,-66.14565,"CBB005"
"Las Carreras","LCR",-21.20957,-65.20899,""
"Las Chalanas","CHL",-22.73595,-64.34548,""
"Las Cuadras","CUA",-17.39658,-66.14164,""
"Las Islas","LIS",-17.36822,-66.15919,"CBB325"
"Las Lomas","LOM",-16.52508,-68.13775,"LPZ582"
"Las Nieve","NIV",-16.60594,-68.19942,""
"Las Retamas","LTM",-16.54398,-68.05994,"LPZ040"
"Las Tacuaras","LTA",-17.70297,-63.14698,""
"Lastra","LST",-16.51922,-68.12745,"LPZ573"
"Lazareto","LAZ",-17.78319,-63.16414,"SCZ072"
"Legal Consult","LCO",-17.77528,-63.18598,"SCZ025"
"LICOMA TX","LTX",-16.77273,-67.17767,""
"Limoncito","LIM",-18.0305,-63.40419,""
"Lipari","LIP",-16.6098,-68.05927,""
"Liquinas","LIQ",-17.57236,-65.99102,""
"Lira","LYR",-16.51418,-68.13329,"LPZ113"
"Litoral","LIT",-16.72836,-63.57556,""
"Llallagua","LLA",-18.4259,-66.5887,""
"Llica","LLI",-19.8519,-68.24537,""
"Llojeta","LLO_",-16.53288,-68.13925,"LPZ591"
"Llojeta Bajo","LLB",-16.52713,-68.12566,"LPZ587"
"Locotal","LCL",-17.18972,-65.80411,""
"Loma Alta","LOA",-17.0751,-63.4877,""
"Loma Suarez","LSU",-14.76193,-64.96274,""
"Lomas De Achumani","LAH",-16.52951,-68.04775,""
"Lomas de Aranjuez","LDA",-17.3594,-66.14869,"CBB007"
"Lomas de San Juan","LSJ",-21.52514,-64.7378,"TRJ012"
"Loreto","LOR",-17.42029,-66.16097,"CBB036"
"Loreto Beni","LOB",-15.18889,-64.75498,""
"Los Andes","AND",-17.80709,-63.11544,"SCZ197"
"Los Andes Ichilo","AIC",-16.88451,-63.83113,""
"Los Andes LPZ","ANLP",-16.49167,-68.18978,"EAL006"
"Los Bosques","BOS",-17.80981,-63.22199,"SCZ701"
"Los Chacos","LCH",-17.74153,-63.111,"SCZ415"
